claim_number,reimbursement_number,amount_approved,reimbursement_date
Claim-0003635,Reimbursement-0001101,1017023.04,9/5/2019
Claim-000847,Reimbursement-0001659,1092012.84,11/30/2018
Claim-0002144,Reimbursement-0002929,1134205.38,11/14/2019
Claim-0003571,Reimbursement-0002886,944713.44,8/9/2020
Claim-0001011,Reimbursement-0002405,1263949.92,2/17/2019
Claim-0001720,Reimbursement-000418,1316710.08,8/1/2019
Claim-0002634,Reimbursement-000822,1013912.64,5/18/2019
Claim-0001171,Reimbursement-0001319,1327961.88,11/22/2018
Claim-0002442,Reimbursement-000123,1167441.66,4/11/2019
Claim-0003549,Reimbursement-000423,1018713.78,5/29/2019
Claim-0003648,Reimbursement-0001132,838940.76,1/2/2019
Claim-0001225,Reimbursement-0003338,1333341,10/18/2021
Claim-0002517,Reimbursement-000196,1399291.2,12/27/2018
Claim-0001333,Reimbursement-0001145,780435,11/3/2019
Claim-0001761,Reimbursement-0002570,911282.4,1/31/2019
Claim-0002454,Reimbursement-0001826,935193.6,8/14/2019
Claim-0001354,Reimbursement-0002540,973920.24,7/20/2019
Claim-0002692,Reimbursement-0002922,863308.8,2/26/2019
Claim-0001419,Reimbursement-000801,888732,3/21/2019
Claim-0001480,Reimbursement-000642,831306.24,8/30/2019
Claim-0001780,Reimbursement-0001135,1044146.16,7/7/2019
Claim-0003587,Reimbursement-0002660,1042551,7/30/2019
Claim-0001441,Reimbursement-0003040,785393.28,11/21/2019
Claim-0002433,Reimbursement-0001747,949777.92,3/5/2019
Claim-0001468,Reimbursement-0001280,1052326.08,12/27/2018
Claim-0003052,Reimbursement-0002884,1161756,1/29/2019
Claim-0001540,Reimbursement-0002213,1069031.7,1/6/2022
Claim-0001556,Reimbursement-0002129,1459988.64,10/8/2018
Claim-0001573,Reimbursement-0002739,1370779.2,10/30/2018
Claim-0001689,Reimbursement-000663,1436054.4,1/3/2019
Claim-0002971,Reimbursement-0002173,925275.96,5/18/2019
Claim-0001598,Reimbursement-0003052,1225242,12/18/2018
Claim-0002291,Reimbursement-0002296,1318702.32,10/31/2018
Claim-0001641,Reimbursement-0003229,1352121.12,1/15/2019
Claim-0001697,Reimbursement-000437,935363.52,7/23/2021
Claim-0001989,Reimbursement-0001434,1261653.12,3/30/2021
Claim-0003532,Reimbursement-0001841,838131.84,2/29/2020
Claim-0001719,Reimbursement-000905,773380.8,7/17/2019
Claim-0001721,Reimbursement-0003018,754046.28,10/16/2018
Claim-0002245,Reimbursement-0001990,944244,5/8/2019
Claim-0002352,Reimbursement-0001914,1200538.8,4/25/2019
Claim-0001758,Reimbursement-0002373,897436.8,1/14/2020
Claim-0002037,Reimbursement-0002841,955197.36,6/6/2019
Claim-0002346,Reimbursement-0002688,1228247.28,1/2/2020
Claim-0003225,Reimbursement-0001173,948753,8/16/2019
Claim-0001942,Reimbursement-0001032,1442658.6,11/9/2020
Claim-0002217,Reimbursement-0001856,939405.6,11/6/2019
Claim-0002079,Reimbursement-0001467,1394888.04,5/30/2019
Claim-0003313,Reimbursement-0002510,1385017.92,1/2/2019
Claim-0002082,Reimbursement-0001424,1114815.78,3/16/2020
Claim-0002395,Reimbursement-0002399,1191153.6,10/30/2019
Claim-0002469,Reimbursement-000727,844206.48,12/18/2019
Claim-0002903,Reimbursement-0001684,784176.12,7/11/2020
Claim-0002098,Reimbursement-000469,1057795.2,9/4/2019
Claim-0002260,Reimbursement-0002682,1195171.2,5/3/2019
Claim-0002370,Reimbursement-0002172,998494.56,10/13/2019
Claim-0002659,Reimbursement-0001225,797925.6,3/3/2019
Claim-0003145,Reimbursement-0002646,821508.48,1/2/2020
Claim-0002322,Reimbursement-0003409,1090170.9,8/16/2020
Claim-0002756,Reimbursement-0002694,1041440.4,10/11/2019
Claim-0002377,Reimbursement-000958,1248491.52,12/1/2018
Claim-0002830,Reimbursement-0003219,1098129.24,12/29/2021
Claim-0002881,Reimbursement-000972,828023.04,5/16/2021
Claim-0003194,Reimbursement-000826,918815.04,1/24/2022
Claim-0003536,Reimbursement-0003098,1433030.94,5/22/2019
Claim-00016,Reimbursement-0001540,648169.21,3/19/2019
Claim-000899,Reimbursement-0001771,663666.93,3/29/2020
Claim-0002801,Reimbursement-000808,765769.54,7/29/2020
Claim-00017,Reimbursement-000553,458107.23,4/16/2019
Claim-000619,Reimbursement-0002924,417250.4,12/29/2020
Claim-0001553,Reimbursement-0003186,514413.05,1/15/2020
Claim-0001715,Reimbursement-0001617,469853.57,2/9/2021
Claim-0002033,Reimbursement-0002250,480067.78,11/20/2021
Claim-0002375,Reimbursement-0001499,421336.08,11/27/2020
Claim-0003014,Reimbursement-0003152,622045.27,12/10/2021
Claim-00055,Reimbursement-0001745,511881.5,5/19/2019
Claim-0001439,Reimbursement-0001416,649634.73,7/26/2018
Claim-0002202,Reimbursement-0001861,454770.75,1/9/2019
Claim-0003036,Reimbursement-0002605,623591.17,12/26/2018
Claim-00067,Reimbursement-000992,816107,5/27/2019
Claim-000323,Reimbursement-0001660,595759.72,7/16/2019
Claim-00069,Reimbursement-00095,779171.98,1/9/2019
Claim-0001360,Reimbursement-0002528,776074.21,3/6/2019
Claim-00092,Reimbursement-0002545,717055.49,7/9/2019
Claim-0001129,Reimbursement-000625,725800.07,10/26/2019
Claim-0001925,Reimbursement-0002821,695194.05,12/17/2019
Claim-00099,Reimbursement-000291,543208.05,8/11/2020
Claim-0002997,Reimbursement-0002708,703583.76,4/26/2021
Claim-0003063,Reimbursement-0001031,728666.96,12/24/2018
Claim-0003072,Reimbursement-0001083,780714.6,5/23/2020
Claim-000107,Reimbursement-0002371,609220.76,3/11/2019
Claim-000422,Reimbursement-0002527,759418.96,9/20/2018
Claim-000998,Reimbursement-0002346,491831.39,9/20/2018
Claim-0001028,Reimbursement-0002505,608317.77,5/18/2019
Claim-0001754,Reimbursement-0003180,499807.84,3/15/2019
Claim-0001994,Reimbursement-0001662,537583.14,6/9/2019
Claim-000125,Reimbursement-0003364,623520.65,4/14/2019
Claim-000168,Reimbursement-000934,518966.88,10/31/2018
Claim-0003048,Reimbursement-000258,615916.74,8/21/2018
Claim-000145,Reimbursement-0002174,523090.4,2/14/2022
Claim-0001876,Reimbursement-0002998,636528.35,3/16/2020
Claim-0002303,Reimbursement-0001946,477049.57,4/2/2019
Claim-0003380,Reimbursement-0002498,530440.29,3/8/2022
Claim-000151,Reimbursement-000551,835537.94,8/14/2018
Claim-0001969,Reimbursement-0003483,661657.09,7/19/2019
Claim-0001996,Reimbursement-0001320,579602.85,2/18/2019
Claim-0003594,Reimbursement-0002335,637563.13,8/4/2018
Claim-000155,Reimbursement-0003634,692485.06,9/5/2019
Claim-000270,Reimbursement-0003241,545538.63,5/17/2019
Claim-000866,Reimbursement-000996,832696.45,3/15/2020
Claim-000929,Reimbursement-000917,575540.19,4/27/2019
Claim-0002111,Reimbursement-000984,613042.15,2/28/2020
Claim-000159,Reimbursement-0002586,526599.17,10/17/2021
Claim-000182,Reimbursement-0002272,623823.3,12/10/2018
Claim-0002657,Reimbursement-000624,663709.7,4/3/2019
Claim-0002688,Reimbursement-0001329,709339.74,10/22/2018
Claim-0003642,Reimbursement-0001578,688598.81,4/9/2019
Claim-000275,Reimbursement-0002772,702651.98,1/15/2020
Claim-0001229,Reimbursement-000210,658308.48,3/7/2020
Claim-000317,Reimbursement-0003278,764963.58,5/2/2019
Claim-0001424,Reimbursement-000657,532742.5,3/25/2019
Claim-0001477,Reimbursement-0001567,655683.07,11/25/2018
Claim-0002284,Reimbursement-000859,532742.5,4/13/2019
Claim-000352,Reimbursement-0001294,746517.97,2/10/2019
Claim-0001162,Reimbursement-0003284,654483.7,11/21/2018
Claim-0002492,Reimbursement-000886,714826.17,12/10/2018
Claim-0002563,Reimbursement-0003610,536839.9,1/25/2019
Claim-000355,Reimbursement-00063,678397.35,6/14/2019
Claim-0003103,Reimbursement-0003590,795194.6,3/8/2019
Claim-0003264,Reimbursement-000206,670124.21,5/16/2019
Claim-0003296,Reimbursement-000236,880683.69,6/1/2018
Claim-000370,Reimbursement-0003544,804921.53,9/8/2019
Claim-0001856,Reimbursement-0002236,691950.09,3/17/2020
Claim-0003565,Reimbursement-0002343,725969.9,8/16/2019
Claim-000443,Reimbursement-000948,756767.34,12/22/2019
Claim-0001405,Reimbursement-0003026,450456.75,9/11/2021
Claim-000449,Reimbursement-000706,681213.66,1/9/2020
Claim-000903,Reimbursement-0001240,674171.04,1/14/2020
Claim-000450,Reimbursement-000596,763244.56,10/29/2018
Claim-0001059,Reimbursement-0001616,774247.45,3/5/2019
Claim-0003113,Reimbursement-0001022,600790.13,4/26/2019
Claim-000477,Reimbursement-0002839,654642.74,8/14/2019
Claim-000508,Reimbursement-0001134,607714.54,8/6/2019
Claim-000885,Reimbursement-0001372,614770.73,7/1/2019
Claim-000509,Reimbursement-0002481,744024.05,3/13/2019
Claim-000524,Reimbursement-0001307,631730.36,9/7/2019
Claim-0001401,Reimbursement-0001619,578451.9,9/17/2021
Claim-0001650,Reimbursement-0001613,571617.34,8/13/2020
Claim-0002368,Reimbursement-0001223,580160.54,10/18/2020
Claim-0002673,Reimbursement-0003331,639341.57,6/14/2019
Claim-0003043,Reimbursement-0003010,741549.24,6/2/2020
Claim-0003087,Reimbursement-0002644,635147.64,10/25/2021
Claim-000558,Reimbursement-000918,807070.46,5/26/2019
Claim-0003237,Reimbursement-0002962,545004.48,5/2/2019
Claim-0003362,Reimbursement-0002937,735321.2,4/22/2019
Claim-000612,Reimbursement-00022,605466.61,8/4/2019
Claim-0001358,Reimbursement-0001313,510224.67,1/27/2019
Claim-0001580,Reimbursement-000695,711941.4,9/12/2019
Claim-0003399,Reimbursement-0002023,797374.37,3/26/2019
Claim-000634,Reimbursement-0002756,549121,10/4/2019
Claim-0001961,Reimbursement-0001859,787806.87,9/21/2020
Claim-0003333,Reimbursement-0002976,732161.34,3/6/2021
Claim-000656,Reimbursement-000982,557310.87,5/25/2019
Claim-0002564,Reimbursement-0003382,643051.01,2/8/2021
Claim-0002670,Reimbursement-0003002,576066.53,5/26/2019
Claim-0003388,Reimbursement-0003485,768386.41,2/4/2019
Claim-000684,Reimbursement-0002397,568330.01,12/16/2019
Claim-0001991,Reimbursement-0001653,647087.35,7/11/2019
Claim-0002823,Reimbursement-0002344,689658.88,12/10/2018
Claim-000704,Reimbursement-0001892,572457.63,8/22/2021
Claim-0001559,Reimbursement-0001282,786492.68,1/9/2020
Claim-000763,Reimbursement-000357,470751.01,3/18/2019
Claim-0001252,Reimbursement-000740,677039.46,7/24/2019
Claim-0001495,Reimbursement-000405,648590.28,12/21/2018
Claim-0002219,Reimbursement-0002386,645018.19,3/30/2019
Claim-000772,Reimbursement-000474,550739.18,11/20/2018
Claim-0001491,Reimbursement-0002089,707207.97,4/4/2020
Claim-0002908,Reimbursement-0002673,777076.71,4/8/2021
Claim-0003084,Reimbursement-0003637,737107.46,6/12/2020
Claim-0003456,Reimbursement-0001030,682885.6,5/25/2021
Claim-000776,Reimbursement-000619,656497.25,10/4/2019
Claim-0002793,Reimbursement-0001654,616466.93,12/13/2018
Claim-0002914,Reimbursement-0001105,688667.07,11/11/2018
Claim-000801,Reimbursement-0002228,640050.89,11/1/2020
Claim-0001376,Reimbursement-0003410,528072.29,11/23/2020
Claim-000816,Reimbursement-0001408,585190.85,3/28/2020
Claim-0003556,Reimbursement-0001658,710558.53,5/9/2020
Claim-000843,Reimbursement-0003130,766287.65,7/26/2019
Claim-0002389,Reimbursement-000628,730071.62,12/8/2019
Claim-000860,Reimbursement-0001049,586330.08,11/4/2019
Claim-0001470,Reimbursement-0002069,540400.89,6/17/2019
Claim-000865,Reimbursement-0002245,523330.13,4/18/2019
Claim-0002910,Reimbursement-0002837,673631.13,12/16/2020
Claim-000904,Reimbursement-0003471,598474.77,2/8/2021
Claim-0001569,Reimbursement-0003354,796591.65,6/20/2019
Claim-0002048,Reimbursement-000143,851474.31,1/4/2022
Claim-0002735,Reimbursement-0001087,614178.19,4/17/2019
Claim-000905,Reimbursement-0002352,625972.43,11/15/2019
Claim-0002594,Reimbursement-0001635,525912.46,12/26/2018
Claim-0003384,Reimbursement-0003347,609921.86,6/28/2021
Claim-000942,Reimbursement-0002873,516284.73,5/28/2019
Claim-0001388,Reimbursement-0002347,623186.04,2/15/2019
Claim-0003178,Reimbursement-0002230,691079.17,11/14/2018
Claim-000956,Reimbursement-0002074,887777.51,3/16/2021
Claim-0001135,Reimbursement-0001017,688155.12,6/16/2019
Claim-0002760,Reimbursement-0003160,664079.26,2/28/2019
Claim-000969,Reimbursement-0001366,531924.62,10/7/2020
Claim-000978,Reimbursement-000750,723537.24,2/11/2019
Claim-0001706,Reimbursement-0001695,579661.44,2/21/2021
Claim-0001751,Reimbursement-0003264,505644.42,8/6/2020
Claim-0001014,Reimbursement-0001221,574035.2,8/25/2019
Claim-0003320,Reimbursement-0001584,687120.13,6/3/2021
Claim-0003625,Reimbursement-0001765,770355.24,5/1/2020
Claim-0001023,Reimbursement-000955,581706.14,1/14/2019
Claim-0001686,Reimbursement-0002812,634588.51,8/17/2019
Claim-0002814,Reimbursement-0001111,602236.94,8/27/2019
Claim-0003079,Reimbursement-0002467,626500.62,9/14/2019
Claim-0003615,Reimbursement-0001819,526957.32,7/31/2019
Claim-0001079,Reimbursement-0003170,520292.39,1/9/2021
Claim-0001747,Reimbursement-000148,573383.45,5/5/2019
Claim-0002457,Reimbursement-000956,560352.01,4/13/2019
Claim-0001083,Reimbursement-0002287,700176.56,7/18/2019
Claim-0001317,Reimbursement-0003508,657493.38,2/11/2019
Claim-0001489,Reimbursement-0001210,453706.36,2/26/2019
Claim-0002839,Reimbursement-0002192,519096.41,6/26/2019
Claim-0002964,Reimbursement-0002430,671721.11,10/20/2019
Claim-0003407,Reimbursement-000344,528868.99,6/26/2019
Claim-0001166,Reimbursement-0002808,579088.23,9/30/2019
Claim-0002978,Reimbursement-0001213,508883.13,8/24/2021
Claim-0003003,Reimbursement-0001171,563164,4/10/2019
Claim-0003110,Reimbursement-000516,731130.05,11/29/2020
Claim-0001218,Reimbursement-000978,672114.62,10/12/2018
Claim-0001296,Reimbursement-0003568,655311.76,2/13/2020
Claim-0002462,Reimbursement-0001454,809073.83,9/15/2020
Claim-0002996,Reimbursement-0003577,757555.61,9/7/2020
Claim-0001287,Reimbursement-00093,705970.78,4/19/2019
Claim-0002989,Reimbursement-000482,646147.55,8/3/2020
Claim-0001301,Reimbursement-0002234,428059.2,10/11/2021
Claim-0001817,Reimbursement-0002728,485419.13,9/12/2020
Claim-0002280,Reimbursement-0001066,695168.14,3/9/2019
Claim-0003008,Reimbursement-000505,531649.53,6/22/2021
Claim-0003196,Reimbursement-0002342,645513.27,8/22/2019
Claim-0001462,Reimbursement-0001995,627754.27,2/11/2020
Claim-0001463,Reimbursement-0002247,620583.04,7/2/2020
Claim-0002315,Reimbursement-0001348,651094.08,1/12/2019
Claim-0002631,Reimbursement-0002362,691679.52,3/17/2020
Claim-0003269,Reimbursement-0001089,631233.12,11/1/2019
Claim-0003646,Reimbursement-0003300,606478.88,3/1/2020
Claim-0001656,Reimbursement-0003510,701696.35,5/26/2019
Claim-0001882,Reimbursement-000810,542954.75,4/6/2021
Claim-0001885,Reimbursement-0002285,756731.36,7/12/2019
Claim-0002361,Reimbursement-000938,704104.13,9/18/2019
Claim-0003199,Reimbursement-0001332,646661.34,3/4/2019
Claim-0001941,Reimbursement-0002258,487230.06,8/31/2019
Claim-0003377,Reimbursement-0002705,711963.5,10/13/2020
Claim-0003632,Reimbursement-0003218,590297.95,8/16/2020
Claim-0002105,Reimbursement-0001696,567061.25,7/19/2021
Claim-0002685,Reimbursement-000431,611520.19,10/27/2018
Claim-0002140,Reimbursement-0001569,639275.58,5/22/2019
Claim-0002382,Reimbursement-0001777,565289.59,8/27/2019
Claim-0002147,Reimbursement-0001187,701616.48,8/27/2019
Claim-0003338,Reimbursement-0002826,608627.19,12/9/2018
Claim-0002167,Reimbursement-000648,663564.75,12/10/2020
Claim-0002179,Reimbursement-0001802,596554.16,1/12/2021
Claim-0002453,Reimbursement-0003513,746128.77,5/22/2019
Claim-0003071,Reimbursement-0002439,534921.86,9/18/2018
Claim-0002301,Reimbursement-0003051,802777.54,6/18/2019
Claim-0002812,Reimbursement-0002491,573017.07,4/24/2019
Claim-0003422,Reimbursement-000274,558868.5,2/4/2019
Claim-0002308,Reimbursement-0001446,566746.68,11/7/2019
Claim-0002572,Reimbursement-0002897,452829.89,4/4/2020
Claim-0002316,Reimbursement-0001402,633697.24,3/19/2020
Claim-0002524,Reimbursement-0001864,708953.21,11/13/2021
Claim-0003314,Reimbursement-0002982,634514.5,2/22/2021
Claim-0003511,Reimbursement-0002825,602788.77,1/5/2021
Claim-0002725,Reimbursement-0002261,796202.45,9/25/2018
Claim-0003461,Reimbursement-0002963,825763.62,3/30/2019
Claim-0002840,Reimbursement-0001281,490520.48,7/27/2019
Claim-0003279,Reimbursement-000498,643524.71,8/17/2019
Claim-0003568,Reimbursement-000212,651340.8,12/29/2018
Claim-00020,Reimbursement-0002754,867605.76,3/19/2019
Claim-000724,Reimbursement-0002801,849189.6,9/26/2019
Claim-0002764,Reimbursement-000738,985059.94,12/21/2020
Claim-0002979,Reimbursement-0001033,730303.06,1/24/2020
Claim-00040,Reimbursement-0001928,924183.04,12/2/2019
Claim-000636,Reimbursement-0001977,1122350.95,10/10/2019
Claim-0002531,Reimbursement-0001260,780661.44,9/10/2019
Claim-0003325,Reimbursement-0003606,897160.15,6/14/2019
Claim-00050,Reimbursement-0002824,619509.6,7/10/2019
Claim-00062,Reimbursement-0001572,859921.92,1/9/2019
Claim-000666,Reimbursement-0001904,896110.3,10/13/2019
Claim-00082,Reimbursement-000611,721704.67,12/6/2018
Claim-0002031,Reimbursement-0002038,968302.48,5/8/2019
Claim-0003083,Reimbursement-0002495,729087.84,8/28/2021
Claim-000115,Reimbursement-0001987,828192.67,7/5/2019
Claim-0001084,Reimbursement-0003262,827337.98,6/30/2020
Claim-0002378,Reimbursement-000896,1010882.23,10/1/2020
Claim-0002507,Reimbursement-0002024,806184.46,10/10/2019
Claim-0002713,Reimbursement-000716,1038445.92,1/20/2020
Claim-000164,Reimbursement-0002675,998471.16,1/27/2019
Claim-000200,Reimbursement-0002970,892644.5,6/28/2018
Claim-000651,Reimbursement-000391,1017650.83,4/26/2019
Claim-0003475,Reimbursement-000106,974778.62,8/30/2018
Claim-000166,Reimbursement-000359,748662.14,9/22/2021
Claim-000517,Reimbursement-0001555,726824.45,2/26/2019
Claim-0002129,Reimbursement-000130,956738.3,5/30/2021
Claim-0003002,Reimbursement-00087,823033.92,1/29/2022
Claim-000190,Reimbursement-0001789,1072936.62,7/7/2020
Claim-000968,Reimbursement-0001627,1143706.18,1/16/2020
Claim-0001351,Reimbursement-0003112,1154661.22,4/5/2021
Claim-0002298,Reimbursement-0002996,753706.75,12/14/2019
Claim-0002419,Reimbursement-0002435,1045987.22,10/17/2019
Claim-000192,Reimbursement-000725,882666.5,11/3/2018
Claim-0001410,Reimbursement-0003593,1018334.3,8/21/2019
Claim-0002775,Reimbursement-000356,1030603.39,9/16/2019
Claim-0003367,Reimbursement-000491,1180191.89,3/10/2019
Claim-000193,Reimbursement-0003424,1018150.56,11/14/2020
Claim-0002547,Reimbursement-0003501,905022.72,4/14/2020
Claim-000208,Reimbursement-0003358,956533.68,2/11/2019
Claim-000220,Reimbursement-0001831,712724.6,8/5/2018
Claim-0003548,Reimbursement-0002514,930068.7,6/29/2019
Claim-000246,Reimbursement-0002329,974845.44,9/4/2019
Claim-0002276,Reimbursement-000696,685438.2,4/10/2019
Claim-000278,Reimbursement-00044,924354.82,2/28/2020
Claim-0002799,Reimbursement-00053,990052.76,12/7/2019
Claim-0003029,Reimbursement-0001509,1013625.45,9/25/2019
Claim-000282,Reimbursement-0001406,1176205.06,11/2/2020
Claim-0001920,Reimbursement-0001002,1001462.99,9/28/2019
Claim-000322,Reimbursement-000980,651054.55,11/19/2021
Claim-000882,Reimbursement-0003383,763818.24,12/9/2018
Claim-0002639,Reimbursement-000773,820300.59,5/1/2020
Claim-0002862,Reimbursement-000555,962410.98,7/14/2021
Claim-0002937,Reimbursement-000878,665526.89,11/2/2021
Claim-0003056,Reimbursement-0001988,741707.71,8/8/2019
Claim-000356,Reimbursement-0003133,910469.62,3/22/2019
Claim-000480,Reimbursement-0001631,910469.62,5/5/2020
Claim-0001568,Reimbursement-0001608,838821.98,6/9/2019
Claim-000372,Reimbursement-0001820,913134.6,6/13/2021
Claim-000672,Reimbursement-0002576,682762.08,6/1/2019
Claim-0001803,Reimbursement-0001370,559305.6,7/16/2020
Claim-0002472,Reimbursement-0002324,606198.6,9/21/2021
Claim-0003219,Reimbursement-0001515,677817,1/18/2020
Claim-0003311,Reimbursement-0002980,859420.8,5/9/2019
Claim-000379,Reimbursement-0001488,1069430.17,12/22/2019
Claim-0002289,Reimbursement-00069,1104706.51,3/9/2020
Claim-0002668,Reimbursement-0003494,798771.92,12/22/2020
Claim-0002901,Reimbursement-0001544,768240.35,12/24/2019
Claim-000439,Reimbursement-000403,855311.62,9/13/2019
Claim-0001465,Reimbursement-0003316,748816.93,10/5/2019
Claim-0002699,Reimbursement-0002293,695569.59,8/20/2020
Claim-000498,Reimbursement-000232,1072568.85,5/7/2019
Claim-0001547,Reimbursement-000889,1139744.82,7/9/2019
Claim-0003150,Reimbursement-0002413,1016401.65,4/14/2019
Claim-000532,Reimbursement-0001246,660409.34,9/21/2020
Claim-0002290,Reimbursement-0002604,723305.47,5/4/2019
Claim-0003496,Reimbursement-0002761,589651.2,5/24/2021
Claim-000576,Reimbursement-0002003,762573.1,7/5/2019
Claim-000678,Reimbursement-0001415,838723.15,1/9/2019
Claim-0001859,Reimbursement-000382,945547.74,11/23/2019
Claim-0001907,Reimbursement-0003337,830142.86,12/27/2021
Claim-000583,Reimbursement-0001354,993540.56,5/3/2020
Claim-0002498,Reimbursement-0002466,779026.12,5/18/2021
Claim-0002824,Reimbursement-0002170,1070481.41,3/18/2020
Claim-000588,Reimbursement-0001053,1093525.27,4/12/2021
Claim-0002575,Reimbursement-0002482,930772.77,5/30/2020
Claim-0003122,Reimbursement-000957,1106390.28,10/13/2020
Claim-000604,Reimbursement-0002506,712669.48,12/8/2021
Claim-0002729,Reimbursement-0001814,808533.32,6/7/2020
Claim-0003383,Reimbursement-0001388,942064.68,11/3/2021
Claim-0003643,Reimbursement-000944,803071.53,8/25/2019
Claim-000679,Reimbursement-0001128,829051.68,7/22/2020
Claim-000761,Reimbursement-0003558,993765.23,1/25/2020
Claim-0001956,Reimbursement-000192,749534.79,5/6/2021
Claim-000696,Reimbursement-000216,654329.09,7/1/2019
Claim-000734,Reimbursement-0002943,815275.47,2/28/2019
Claim-0002807,Reimbursement-0002130,892060.42,2/27/2019
Claim-000768,Reimbursement-0002486,1019729.09,6/14/2019
Claim-0001966,Reimbursement-000317,718935.98,8/12/2020
Claim-0003361,Reimbursement-000154,977015.57,9/15/2020
Claim-000796,Reimbursement-0001939,846324.86,2/3/2019
Claim-0002696,Reimbursement-000101,725853.11,9/30/2019
Claim-0003436,Reimbursement-0003407,846324.86,4/20/2019
Claim-000879,Reimbursement-0002890,619568.06,5/17/2019
Claim-0001718,Reimbursement-000974,679744.5,11/3/2019
Claim-0001837,Reimbursement-0003189,868819.58,3/1/2019
Claim-0001955,Reimbursement-0003393,836416.89,1/17/2020
Claim-0001977,Reimbursement-0001367,583960.7,12/28/2019
Claim-0001987,Reimbursement-0002999,694343.52,6/3/2021
Claim-0003158,Reimbursement-0002521,730663.03,4/7/2020
Claim-0003352,Reimbursement-000794,673691.25,11/11/2019
Claim-000994,Reimbursement-0003640,1102813.39,7/18/2018
Claim-0002007,Reimbursement-0002587,973070.64,6/3/2019
Claim-0002834,Reimbursement-0001913,724546.16,11/26/2018
Claim-0002917,Reimbursement-0001591,960320.06,7/14/2018
Claim-0003099,Reimbursement-0001091,779798.68,12/24/2018
Claim-0001010,Reimbursement-0003479,749274.62,11/28/2019
Claim-0002541,Reimbursement-0003185,586510.85,5/28/2019
Claim-0002927,Reimbursement-0001194,686835.07,7/24/2020
Claim-0001020,Reimbursement-0001545,831094.02,4/11/2019
Claim-0001406,Reimbursement-0001188,913979.4,2/9/2019
Claim-0002331,Reimbursement-000888,724992.58,7/8/2019
Claim-0001050,Reimbursement-0003623,1012326.43,4/6/2020
Claim-0002093,Reimbursement-0001738,778243.54,12/16/2020
Claim-0002360,Reimbursement-00043,960255.89,11/18/2018
Claim-0002632,Reimbursement-0003648,855880.25,8/1/2019
Claim-0001096,Reimbursement-0001944,783423.45,7/4/2020
Claim-0002528,Reimbursement-0001574,748486.2,7/11/2021
Claim-0001097,Reimbursement-000729,772339.92,11/14/2018
Claim-0002057,Reimbursement-0001685,698498.64,5/3/2019
Claim-0002497,Reimbursement-00065,1031117.04,6/17/2019
Claim-0003108,Reimbursement-0002206,823341.41,7/17/2018
Claim-0001122,Reimbursement-0002753,1063479.37,9/15/2019
Claim-0001924,Reimbursement-000520,1003733.34,10/27/2018
Claim-0001963,Reimbursement-0002930,968514.62,12/4/2018
Claim-0002145,Reimbursement-0002157,712759.68,3/6/2019
Claim-0002904,Reimbursement-0001155,991574.5,2/22/2019
Claim-0001130,Reimbursement-0001292,955523.92,2/3/2019
Claim-0003423,Reimbursement-000350,814230.91,5/28/2019
Claim-0003492,Reimbursement-0001799,767423.52,4/8/2019
Claim-0001148,Reimbursement-00096,976956.83,5/21/2019
Claim-0002647,Reimbursement-0001706,1059823.7,7/15/2019
Claim-0001416,Reimbursement-000893,652334.63,11/7/2020
Claim-0001659,Reimbursement-0001027,1051959.46,4/17/2019
Claim-0002371,Reimbursement-0002654,821606.28,1/24/2021
Claim-0002403,Reimbursement-0002685,662914.11,8/18/2021
Claim-0001476,Reimbursement-0002898,1054331.42,11/20/2018
Claim-0002510,Reimbursement-0002081,833770.14,9/5/2019
Claim-0002660,Reimbursement-0002350,1066450.18,12/30/2018
Claim-0003195,Reimbursement-0002118,861643.27,9/28/2019
Claim-0003608,Reimbursement-0001170,720863.76,9/9/2018
Claim-0003613,Reimbursement-0003579,678650.11,3/14/2019
Claim-0001478,Reimbursement-0001375,824202.09,11/17/2020
Claim-0002488,Reimbursement-00032,1170155.29,4/26/2019
Claim-0002935,Reimbursement-0002117,810311.04,4/4/2019
Claim-0001523,Reimbursement-0002433,1038754.94,9/5/2019
Claim-0001648,Reimbursement-0002338,788542.39,2/2/2019
Claim-0001892,Reimbursement-000780,792270.72,4/13/2019
Claim-0001532,Reimbursement-0001970,983905.69,7/7/2019
Claim-0001725,Reimbursement-0001645,969894.37,10/25/2019
Claim-0001564,Reimbursement-0001374,819887.44,2/29/2020
Claim-0001794,Reimbursement-0003103,780749.69,12/23/2020
Claim-0003463,Reimbursement-0001109,660876.64,10/12/2021
Claim-0001871,Reimbursement-0002127,798049.19,4/15/2021
Claim-0002386,Reimbursement-000122,1042241.63,8/6/2019
Claim-0002988,Reimbursement-0001073,1027200.79,4/19/2021
Claim-0003323,Reimbursement-0001123,790086.39,10/23/2020
Claim-0001903,Reimbursement-0003592,805901.18,2/11/2019
Claim-0001980,Reimbursement-0002453,683950.85,4/26/2019
Claim-0002275,Reimbursement-000694,1009244.54,6/22/2019
Claim-0003387,Reimbursement-000360,923333.64,4/21/2019
Claim-0003644,Reimbursement-0001470,968374.31,12/21/2019
Claim-0001993,Reimbursement-0001514,788690.5,4/20/2019
Claim-0002969,Reimbursement-000430,1029880.94,3/26/2019
Claim-0002068,Reimbursement-000961,670387.2,6/13/2019
Claim-0002473,Reimbursement-0002522,1027017.6,8/1/2019
Claim-0002193,Reimbursement-000843,945748.74,10/23/2019
